127.0.0.1 - - [12/Nov/2020:00:27:02 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/requestAccount HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:17 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:39:18 +0700] "GET /ClothesShop/getAccountView HTTP/1.1" 200 22454
